date,temperature_anomaly,precipitation_anomaly,co2_concentration,sea_level_change,solar_radiation
2019-01-31,0.3993428306022465,18.93654701751118,406.76041288107734,0.33005338782120053,1360.7622437784703
2019-02-28,0.5477708685793223,-3.9815535590304023,407.56333158845035,0.541480783307898,1360.96557906756
2019-03-31,0.9133978671394765,30.701172926932173,408.45530708926816,0.7358093834630091,1361.1514961836942
2019-04-30,1.1808771577222832,-13.956698130018736,410.1646085523664,1.0544071766824639,1361.259726558251
2019-05-31,0.7878769422017895,11.391046858029263,412.92321206373947,1.3165301538563958,1360.6399110778832
2019-06-30,0.6302912526779604,30.268643936124466,414.5473826663167,1.6536501933837633,1360.8996496292477
2019-07-31,0.7683849359828343,-21.9291126888258,414.4894186680234,1.9715092033496469,1360.8575164066517
2019-08-31,0.38145304752549714,-18.15372420693226,414.87950367724847,2.245682890337097,1360.8040012302279
2019-09-30,-0.023517748570735145,-8.164487786576066,413.7147163176086,2.4579393928916247,1361.5296362720844
2019-10-31,0.13732556803922683,-14.623202623608465,411.96557571591774,2.6167516149167556,1361.1214945132883
2019-11-30,0.028541047680881504,-25.848141917017195,411.22307068411016,2.861030418751394,1360.6217348136995
2019-12-31,0.2365150662351009,3.6166350731156127,410.9675522413712,3.209542322297272,1361.2753585841165
2020-01-31,0.6534772000759186,-8.863487894026099,410.0329344380722,3.506669821827688,1361.6366468591038
2020-02-29,0.49785242564471166,16.763144722418406,411.4893303623164,3.687010719530729,1361.3097395781654
2020-03-31,0.743961338779443,-4.1321052506163625,410.74944948185345,3.9808651935988237,1360.5441890102138
2020-04-30,1.0688984263551955,30.320083887128575,414.2245105742215,4.291690583977131,1360.8547297781402
2020-05-31,0.9372261388422841,-9.160608934018331,415.6113201442885,4.50098198908104,1361.380073344756
2020-06-30,1.0450528563495631,-7.419113194110352,416.7706064344255,4.793279997556682,1360.7876991603143
2020-07-31,0.5760223035398258,5.131690448679567,417.6221515747084,5.077936695032362,1361.133145828444
2020-08-31,0.25059010719056934,-28.12222300940001,416.4348002286292,5.266499071205912,1361.2323902160288
2020-09-30,0.668591628163278,-6.247359243828743,416.4749098187931,5.575122060033775,1360.7219208585266
2020-10-31,0.2887430449874386,12.536073502370938,415.5175393366033,5.899984822143233,1360.9821423931814
2020-11-30,0.4398149729436704,-26.70043896944364,414.8321673613538,6.266628921597255,1360.0276197979792
